group,mycount
{"fields":[{"name":"group","type":10,"description":"autogenerated from Pig Field Schema","schema":null},{"name":"mycount","type":15,"description":"autogenerated from Pig Field Schema","schema":null}],"version":0,"sortKeys":[0],"sortKeyOrders":["ASCENDING"]}10001,557394
10002,511630
10003,2112424
10004,144670
10005,367
10006,73844
10007,220535
10008,21667
10009,1060218
10010,1909705
10011,877827
10012,2035044
10013,660884
10014,1693667
10015,8
10016,864272
10017,491182
10018,562778
10019,484620
10020,777877
10021,1983923
10022,452592
10023,1315979
10024,1434987
10025,779209
10026,314994
10027,78125
10028,1513964
10029,325844
10030,89654
10031,114733
10032,127358
10033,71529
10034,29826
10035,71254
10036,895504
10037,158286
10038,104718
10039,47548
10040,40253
10041,180213
10044,217635
10045,123184
10048,10
10055,147204
10069,230258
10095,106810
10099,76
10103,136182
10104,130687
10105,449980
10106,236284
10107,857044
10110,424152
10111,116641
10112,217713
10115,230863
10118,788249
10119,375974
10120,280323
10121,1330488
10122,215787
10123,195440
10128,1262214
10151,325083
10152,165724
10153,662863
10154,271392
10155,1041752
10158,593689
10161,49707
10162,592508
10165,202736
10166,75105
10167,194076
10168,138597
10169,29027
10170,118258
10171,229654
10172,98009
10173,74315
10174,268543
10175,194197
10176,164894
10177,56230
10178,263887
10199,192030
10270,183207
10271,83871
10278,382662
10279,97422
10280,94151
10281,138924
10282,346296
10301,1478
10302,1009
10303,85194
10304,1564
10305,1573
10306,936
10307,1453
10308,501
10309,340
10310,1088
10311,589
10312,523
10314,345
10451,16270
10452,9498
10453,13666
10454,6747
10455,7623
10456,5525
10457,3356
10458,7235
10459,3848
10460,3002
10461,7202
10462,8652
10463,22968
10464,4387
10465,3482
10466,3690
10467,7877
10468,7689
10469,3409
10470,9911
10471,16076
10472,4117
10473,1963
10474,1082
10475,2396
11004,9065
11101,87396
11102,85182
11103,116604
11104,86036
11105,67115
11106,155320
11109,119007
11201,139066
11203,6207
11204,5881
11205,118067
11206,138508
11207,3426
11208,3296
11209,24380
11210,12853
11211,218953
11212,5388
11213,30700
11214,5976
11215,176313
11216,86606
11217,117798
11218,41834
11219,8191
11220,23148
11221,70115
11222,263506
11223,9032
11224,3929
11225,63905
11226,45333
11228,5293
11229,7335
11230,15626
11231,79999
11232,25073
11233,25105
11234,1875
11235,6029
11236,4109
11237,84672
11238,129214
11239,1079
11241,94970
11242,192325
11243,128806
11249,209677
11252,4087
11256,700
11351,1586
11354,10296
11355,7360
11356,1616
11357,2960
11358,3931
11359,1022
11360,2372
11361,3871
11362,2010
11363,3423
11364,2193
11365,3493
11366,3947
11367,10336
11368,9592
11369,322884
11370,24326
11371,358428
11372,35369
11373,23948
11374,32029
11375,43343
11377,37373
11378,10899
11379,9620
11385,24161
11411,2269
11412,1033
11413,2156
11414,2134
11415,17851
11416,2665
11417,2617
11418,2708
11419,3149
11420,3911
11421,5462
11422,5399
11423,2278
11426,1921
11427,1662
11428,1134
11429,1261
11430,372752
11432,6757
11433,1571
11434,1626
11435,9472
11436,26449
11691,3045
11692,930
11693,118
11694,930
11697,371
