group,mycount
{"fields":[{"name":"group","type":10,"description":"autogenerated from Pig Field Schema","schema":null},{"name":"mycount","type":15,"description":"autogenerated from Pig Field Schema","schema":null}],"version":0,"sortKeys":[0],"sortKeyOrders":["ASCENDING"]}10001,453562
10002,535493
10003,2547373
10004,127527
10005,350
10006,62318
10007,253230
10008,18921
10009,1051131
10010,2034077
10011,932018
10012,2483424
10013,725420
10014,1983866
10015,7
10016,1006153
10017,509728
10018,677465
10019,414936
10020,896065
10021,2058188
10022,559751
10023,1383568
10024,1379559
10025,762796
10026,151565
10027,57238
10028,1512399
10029,181955
10030,19968
10031,53893
10032,31236
10033,8696
10034,2134
10035,27691
10036,952041
10037,47020
10038,106775
10039,5222
10040,4537
10041,175856
10044,185018
10045,81845
10048,4
10055,119707
10069,188479
10095,62747
10099,22
10103,149474
10104,111117
10105,486254
10106,270257
10107,1150392
10110,380476
10111,112809
10112,194493
10115,145885
10118,890957
10119,608853
10120,338410
10121,1580054
10122,163626
10123,235333
10128,1157799
10151,315766
10152,157847
10153,728137
10154,336611
10155,1264555
10158,581821
10161,63085
10162,614729
10165,258479
10166,66126
10167,209053
10168,146132
10169,21855
10170,144207
10171,206431
10172,92055
10173,59016
10174,292223
10175,184211
10176,152247
10177,56464
10178,206738
10199,176515
10270,186195
10271,67745
10278,387448
10279,84617
10280,85256
10281,149714
10282,309306
10301,125
10302,141
10303,3266
10304,75
10305,68
10306,21
10307,491
10308,15
10309,23
10310,140
10311,72
10312,9
10314,49
10451,3315
10452,1129
10453,817
10454,1386
10455,857
10456,618
10457,228
10458,359
10459,330
10460,251
10461,246
10462,501
10463,925
10464,410
10465,160
10466,160
10467,292
10468,441
10469,104
10470,575
10471,729
10472,363
10473,100
10474,125
10475,157
11004,980
11101,58243
11102,34853
11103,27286
11104,49994
11105,13056
11106,65809
11109,34953
11201,64621
11203,513
11204,607
11205,24618
11206,46100
11207,395
11208,511
11209,839
11210,893
11211,149054
11212,465
11213,3305
11214,353
11215,37052
11216,13030
11217,62959
11218,5329
11219,356
11220,1677
11221,11334
11222,80512
11223,303
11224,238
11225,10293
11226,4050
11228,160
11229,309
11230,1494
11231,39597
11232,4349
11233,2546
11234,150
11235,250
11236,281
11237,14817
11238,23435
11239,135
11241,45193
11242,105816
11243,65207
11249,78051
11252,165
11256,81
11351,112
11354,942
11355,557
11356,78
11357,79
11358,114
11359,28
11360,31
11361,140
11362,74
11363,88
11364,56
11365,119
11366,69
11367,997
11368,2406
11369,551413
11370,10558
11371,665831
11372,8018
11373,6044
11374,4759
11375,5849
11377,13482
11378,2158
11379,568
11385,1203
11411,167
11412,42
11413,212
11414,114
11415,3520
11416,203
11417,394
11418,252
11419,2378
11420,3183
11421,558
11422,260
11423,74
11426,120
11427,81
11428,63
11429,108
11430,787406
11432,688
11433,78
11434,97
11435,3485
11436,12097
11691,511
11692,37
11693,36
11694,26
11697,106
